accession,short,taxa
RS_GCF_000005845.2,Proteo1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia
RS_GCF_000008485.1,Proteo2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella
RS_GCF_000297215.2,Proteo3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Piscirickettsiales;f__Piscirickettsiaceae;g__Piscirickettsia;s__Piscirickettsia
RS_GCF_005280755.1,Proteo4,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Coxiellales;f__Coxiellaceae;g__Coxiella;s__Coxiella
GB_GCA_001816265.1,Camylo1,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter
RS_GCF_900187115.1,Camylo2,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter
RS_GCF_003010495.1,FirmiC1,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera
RS_GCF_000620985.1,Firmi1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Brochothrix;s__Brochothrix
GB_GCA_002358345.1,Proteo5,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__D2472;g__D2472;s__D2472
RS_GCF_000164695.2,Actino1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia
RS_GCF_001535965.1,Bacter1s1,d__Bacteria;p__Bacteroidota;c__Kryptonia;o__Kryptoniales;f__Kryptoniaceae;g__Kryptonium;s__Kryptonium
RS_GCF_001267405.1,FirmiB1s1,d__Bacteria;p__Firmicutes_B;c__Moorellia;o__Moorellales;f__Moorellaceae;g__Moorella;s__Moorella
GB_GCA_002347925.1,Chloro1,d__Bacteria;p__Chloroflexota;c__UBA2235;o__UBA12225;f__UBA12225;g__UBA12225;s__UBA12225
RS_GCF_000023285.1,Bacter2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga
GB_GCA_002168225.1,Proteo6,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2
RS_GCF_000018785.1,Firmi2,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma;s__Acholeplasma
GB_GCA_000996895.1,Patsci1,d__Bacteria;p__Patescibacteria;c__WWE3;o__UBA101185;f__UBA10185;g__UBA8498;s__UBA8498
RS_GCF_001999325.1,Proteo7,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__Thioalkalivibrionaceae;g__Thioalkalivibrio;s__Thioalkalivibrio
GB_GCA_001767835.1,Proteo8,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA9655;f__UBA9655;g__UBA9655;s__UBA9655
RS_GCF_000270205.1,FirmiA1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Dwaynesavagella;s__Dwaynesavagella
RS_GCF_000276685.1,Proteo9,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Taylorella;s__Taylorella
GB_GCA_001623405.1,Bacter3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Hydrotalea;s__Hydrotalea
RS_GCF_000513775.1,Spiro1,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema;s__Treponema
GB_GCA_001442985.1,Armati1,d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__GBS-DC;g__LDYB01;s__LDYB01
GB_GCA_001780725.1,Patsci2,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__WO2-41-13;f__2-01-FULL-45-33;g__GWA1-44-25;s__GWA1-44-25
